race,gender,age,count_below_pov
native,male,u17,278622
native,male,18-34,80577
native,male,35-54,67432
native,male,55-74,39262
native,male,75u,5426
native,female,u17,118851
native,female,18-34,103031
native,female,35-54,83578
native,female,55-74,50811
native,female,75u,11132
aa,male,u17,1846966
aa,male,18-34,1006857
aa,male,35-54,779776
aa,male,55-74,567868
aa,male,75u,79465
aa,female,u17,1824906
aa,female,18-34,1543849
aa,female,35-54,1179221
aa,female,55-74,770805
aa,female,75u,207296
asian,male,u17,207807
asian,male,18-34,371269
asian,male,35-54,178412
asian,male,55-74,130774
asian,male,75u,45168
asian,female,u17,200798
asian,female,18-34,383679
asian,female,35-54,237745
asian,female,55-74,179080
asian,female,75u,76485
hispanic,male,u17,2705683
hispanic,male,18-34,1291377
hispanic,male,35-54,1038759
hispanic,male,55-74,436169
hispanic,male,75u,101801
hispanic,female,u17,2616708
hispanic,female,18-34,1838402
hispanic,female,35-54,1439158
hispanic,female,55-74,610438
hispanic,female,75u,190957
white,male,u17,2317980
white,male,18-34,2562390
white,male,35-54,1887093
white,male,55-74,1668436
white,male,75u,380268
white,female,u17,2209093
white,female,18-34,3376808
white,female,35-54,2412591
white,female,55-74,2096442
white,female,75u,909619